pol	setting	phi
0.3	45	18.9909
0.3	45	-126.963
0.3	45	18.8956
0.3	45	125.322
0.3	45	60.8498
0.3	45	-171.684
0.3	45	-124.987
0.3	45	-174.897
0.3	45	-22.4201
0.3	45	160.59
0.3	45	136.784
0.3	45	-33.7729
0.3	45	153.86
0.3	45	49.1619
0.3	45	-108.794
0.3	45	-89.9954
0.3	45	-47.475
0.3	45	106.128
0.3	45	97.307
0.3	45	-67.4332
0.3	45	47.7409
0.3	45	119.71
0.3	45	140.166
0.3	45	-94.6348
0.3	45	120.585
0.3	45	-174.201
0.3	45	-79.0546
0.3	45	-16.5695
0.3	45	-2.35724
0.3	45	84.7832
0.3	45	-56.035
0.3	45	136.752
0.3	45	154.135
0.3	45	149.242
0.3	45	-85.0329
0.3	45	-25.5403
0.3	45	177.778
0.3	45	4.99598
0.3	45	110.272
0.3	45	65.0608
0.3	45	-18.8335
0.3	45	131.672
0.3	45	-67.2125
0.3	45	-110.229
0.3	45	157.34
0.3	45	109.108
0.3	45	175.609
0.3	45	5.04437
0.3	45	55.8937
0.3	45	-134.754
0.3	45	-2.6148
0.3	45	-175.985
0.3	45	88.8847
0.3	45	10.3571
0.3	45	-131.411
0.3	45	141.66
0.3	45	116.485
0.3	45	60.1289
0.3	45	-175.373
0.3	45	-60.0211
0.3	45	91.999
0.3	45	-23.0204
0.3	45	-121.505
0.3	45	-11.0313
0.3	45	-1.47235
0.3	45	-107.385
0.3	45	97.7833
0.3	45	-10.6875
0.3	45	110.903
0.3	45	-27.8675
0.3	45	160.824
0.3	45	-21.3993
0.3	45	84.9546
0.3	45	-119.033
0.3	45	130.76
0.3	45	-172.931
0.3	45	-9.31782
0.3	45	77.7391
0.3	45	-111.75
0.3	45	-66.7296
0.3	45	173.601
0.3	45	99.4741
0.3	45	139.681
0.3	45	143.912
0.3	45	-118.457
0.3	45	-3.07052
0.3	45	118.843
0.3	45	128.278
0.3	45	118.818
0.3	45	157.078
0.3	45	-90.854
0.3	45	-65.6788
0.3	45	-95.6316
0.3	45	-176.303
0.3	45	-171.126
0.3	45	-43.176
0.3	45	-107.194
0.3	45	24.0465
0.3	45	176.305
0.3	45	-80.781
0.3	45	86.2741
0.3	45	-32.7558
0.3	45	-160.887
0.3	45	-16.2937
0.3	45	-169.373
0.3	45	-19.5933
0.3	45	145.307
0.3	45	-67.4147
0.3	45	-69.492
0.3	45	44.6085
0.3	45	-52.5104
0.3	45	164.641
0.3	45	-90.8303
0.3	45	-26.539
0.3	45	177.9
0.3	45	-5.38189
0.3	45	-106.894
0.3	45	78.5705
0.3	45	-165.862
0.3	45	-22.5268
0.3	45	156.386
0.3	45	-37.7355
0.3	45	94.5156
0.3	45	173.407
0.3	45	-1.95807
0.3	45	80.606
0.3	45	155.22
0.3	45	-41.4327
0.3	45	-84.5915
0.3	45	23.2485
0.3	45	-151.396
0.3	45	-69.6058
0.3	45	104.296
0.3	45	-174.189
0.3	45	-150.64
0.3	45	-116.715
0.3	45	-38.2604
0.3	45	-24.7892
0.3	45	40.201
0.3	45	-110.655
0.3	45	121.182
0.3	45	179.017
0.3	45	55.5951
0.3	45	175.82
0.3	45	105.617
0.3	45	104.159
