pol	setting	phi
0.3	45	110.613
0.3	45	28.3818
0.3	45	-139.219
0.3	45	-76.6322
0.3	45	162.423
0.3	45	120.055
0.3	45	39.2377
0.3	45	119.266
0.3	45	39.4156
0.3	45	29.5973
0.3	45	73.4591
0.3	45	1.25237
0.3	45	34.3808
0.3	45	25.4599
0.3	45	36.1244
0.3	45	-110.574
0.3	45	-70.1643
0.3	45	48.6045
0.3	45	103.172
0.3	45	-117.066
0.3	45	54.8386
0.3	45	96.9405
0.3	45	78.3494
0.3	45	110.661
0.3	45	2.12395
0.3	45	-22.5252
0.3	45	-137.578
0.3	45	143.104
0.3	45	24.2613
0.3	45	76.7625
0.3	45	-22.2653
0.3	45	57.1471
0.3	45	12.7697
0.3	45	149.904
0.3	45	-178.191
0.3	45	59.9307
0.3	45	-76.8328
0.3	45	-70.4816
0.3	45	-135.878
0.3	45	130.08
0.3	45	25.6783
0.3	45	11.4373
0.3	45	-10.8087
0.3	45	20.8844
0.3	45	-101.933
0.3	45	40.7359
0.3	45	133.973
0.3	45	-168.121
0.3	45	-8.48525
0.3	45	-164.574
0.3	45	-17.9656
0.3	45	-142.937
0.3	45	-58.1216
0.3	45	112.004
0.3	45	0.533915
0.3	45	111.543
0.3	45	56.6824
0.3	45	111.006
0.3	45	85.9763
0.3	45	-131.315
0.3	45	179.328
0.3	45	114.668
0.3	45	140.806
0.3	45	-100.023
0.3	45	-165.223
0.3	45	90.1946
0.3	45	-99.6023
0.3	45	-50.6392
0.3	45	48.5035
0.3	45	12.8284
0.3	45	50.8155
0.3	45	-122.106
0.3	45	161.547
0.3	45	76.3825
0.3	45	94.0441
0.3	45	-152.399
0.3	45	82.2693
0.3	45	-92.3663
0.3	45	-49.1865
0.3	45	17.1646
0.3	45	-123.145
0.3	45	-12.4057
0.3	45	-155.057
0.3	45	-51.6425
0.3	45	63.4419
0.3	45	48.7595
0.3	45	-110.211
0.3	45	162.503
0.3	45	134.09
0.3	45	-98.0976
0.3	45	167.009
0.3	45	19.6658
0.3	45	134.122
0.3	45	-64.5898
0.3	45	-9.98688
0.3	45	105.811
0.3	45	5.68169
0.3	45	89.6692
0.3	45	-143.598
0.3	45	173.504
0.3	45	128.125
0.3	45	109.202
0.3	45	48.5474
0.3	45	-161.589
0.3	45	-39.9748
0.3	45	110.772
0.3	45	141.593
0.3	45	-22.7664
0.3	45	-147.274
0.3	45	-3.79887
0.3	45	173.454
0.3	45	-36.8507
0.3	45	31.4829
0.3	45	15.2746
0.3	45	-170.253
0.3	45	-70.6284
0.3	45	114.327
0.3	45	128.003
0.3	45	148.698
0.3	45	-163.812
0.3	45	-85.7137
0.3	45	-179.625
0.3	45	-78.2623
0.3	45	-52.8397
0.3	45	-8.68358
0.3	45	-29.4512
0.3	45	-178.304
0.3	45	-41.2736
0.3	45	109.869
0.3	45	-100.299
0.3	45	140.927
0.3	45	-11.7423
0.3	45	69.7242
0.3	45	176.597
0.3	45	142.737
0.3	45	-93.1525
0.3	45	114.19
0.3	45	157.222
0.3	45	154.507
0.3	45	148.469
0.3	45	80.3941
0.3	45	-55.7234
0.3	45	-23.7675
0.3	45	-103.457
0.3	45	120.707
0.3	45	-179.747
0.3	45	-161.541
0.3	45	31.3404
0.3	45	-44.2627
0.3	45	2.38559
0.3	45	31.8359
0.3	45	20.3235
0.3	45	8.46099
0.3	45	40.3018
0.3	45	91.5466
0.3	45	100.161
0.3	45	53.3682
0.3	45	-75.8157
0.3	45	14.9399
0.3	45	-167.293
0.3	45	64.5927
0.3	45	-39.6675
0.3	45	-109.937
0.3	45	154.602
0.3	45	-54.3171
0.3	45	5.71871
0.3	45	-45.0987
0.3	45	-110.053
0.3	45	-165.954
0.3	45	136.421
0.3	45	152.518
0.3	45	-80.9798
0.3	45	62.4105
0.3	45	-107.341
0.3	45	65.6423
