pol	setting	phi
0.3	45	-135.102
0.3	45	139.716
0.3	45	-54.3183
0.3	45	-49.1953
0.3	45	27.1384
0.3	45	166.567
0.3	45	50.6518
0.3	45	-65.1606
0.3	45	121.921
0.3	45	-36.0202
0.3	45	21.3776
0.3	45	-53.8427
0.3	45	122.455
0.3	45	-150.942
0.3	45	-69.0478
0.3	45	-96.1065
0.3	45	128.743
0.3	45	-19.9885
0.3	45	-85.4073
0.3	45	-34.1468
0.3	45	-23.1078
0.3	45	108.349
0.3	45	73.5028
0.3	45	-24.1712
0.3	45	-105.181
0.3	45	-144.345
0.3	45	136.496
0.3	45	-154.757
0.3	45	-104.78
0.3	45	145.357
0.3	45	88.3239
0.3	45	132.283
0.3	45	-26.3331
0.3	45	60.0847
0.3	45	112.712
0.3	45	169.741
0.3	45	133.578
0.3	45	82.8925
0.3	45	149.984
0.3	45	75.3783
0.3	45	-28.7243
0.3	45	-58.4857
0.3	45	99.6215
0.3	45	-169.828
0.3	45	-175.146
0.3	45	-17.6257
0.3	45	27.4053
0.3	45	121.465
0.3	45	-73.5332
0.3	45	156.504
0.3	45	127.342
0.3	45	4.09809
0.3	45	72.8137
0.3	45	-176
0.3	45	30.5054
0.3	45	-122.237
0.3	45	-40.7906
0.3	45	88.3517
0.3	45	171.779
0.3	45	98.1387
0.3	45	106.241
0.3	45	74.3264
0.3	45	153.707
0.3	45	110.028
0.3	45	-74.1201
0.3	45	121.094
0.3	45	72.1565
0.3	45	-161.304
0.3	45	-14.987
0.3	45	-11.0204
0.3	45	175.828
0.3	45	-29.798
0.3	45	-165.759
0.3	45	158.648
0.3	45	-43.388
0.3	45	80.2946
0.3	45	14.4004
0.3	45	-9.06804
0.3	45	-88.2062
0.3	45	67.6333
0.3	45	11.7257
0.3	45	-144.956
0.3	45	83.1702
0.3	45	-105.104
0.3	45	-43.7639
0.3	45	111.085
0.3	45	73.4481
0.3	45	-97.2299
0.3	45	51.2992
0.3	45	49.387
0.3	45	65.1852
0.3	45	84.2791
0.3	45	25.2024
0.3	45	-153.863
0.3	45	97.1213
0.3	45	142.212
0.3	45	-148.454
0.3	45	21.1076
0.3	45	152.141
0.3	45	-163.664
0.3	45	-45.3485
0.3	45	47.1425
0.3	45	179.252
0.3	45	-175.819
0.3	45	-169.319
0.3	45	60.7609
0.3	45	60.1912
0.3	45	150.658
0.3	45	105.711
0.3	45	-17.487
0.3	45	112.786
0.3	45	-136.463
0.3	45	158.37
0.3	45	73.0408
0.3	45	-122.19
0.3	45	148.549
0.3	45	26.2902
0.3	45	-66.7606
0.3	45	-136.537
0.3	45	-13.2191
0.3	45	100.961
0.3	45	-16.771
0.3	45	-143.071
0.3	45	-96.581
0.3	45	137.629
0.3	45	76.3709
0.3	45	109.262
0.3	45	-123.626
0.3	45	78.1504
0.3	45	-43.6031
0.3	45	-111.501
0.3	45	-59.4951
0.3	45	-128.368
0.3	45	119.415
0.3	45	-48.5606
0.3	45	79.2857
0.3	45	144.035
0.3	45	-151.783
0.3	45	55.274
0.3	45	147.971
0.3	45	136.383
0.3	45	-13.6394
0.3	45	-49.1984
0.3	45	-98.6044
0.3	45	-166.73
0.3	45	-146.824
0.3	45	-20.3155
0.3	45	-26.2186
0.3	45	158.956
0.3	45	-36.874
0.3	45	42.6706
0.3	45	-4.67328
0.3	45	-163.376
0.3	45	13.6092
0.3	45	-56.5526
0.3	45	134.283
0.3	45	-60.0556
0.3	45	29.5369
0.3	45	57.7444
0.3	45	36.6672
0.3	45	-62.618
0.3	45	-53.6392
0.3	45	103.89
0.3	45	-96.9401
0.3	45	65.6215
0.3	45	-128.554
