pol.	phi	weight
0.3	-46.6005	1
0.3	-61.0182	1
0.3	-8.65609	1
0.3	92.615	1
0.3	-117.184	1
0.3	81.1952	1
0.3	-54.7451	1
0.3	21.64	1
0.3	84.6389	1
0.3	-95.1972	1
0.3	42.1311	1
0.3	-131.687	1
0.3	-29.8316	1
0.3	-28.7545	1
0.3	178.094	1
0.3	98.3608	1
0.3	19.9417	1
0.3	42.0319	1
0.3	82.5068	1
0.3	10.2976	1
0.3	53.9069	1
0.3	96.3419	1
0.3	114.362	1
0.3	138.167	1
0.3	175.569	1
0.3	-114.634	1
0.3	33.0902	1
0.3	116.835	1
0.3	44.6322	1
0.3	159.6	1
0.3	-33.8065	1
0.3	83.3336	1
0.3	-79.0198	1
0.3	105.036	1
0.3	-119.639	1
0.3	65.423	1
0.3	-70.8166	1
0.3	120.959	1
0.3	-94.2053	1
0.3	145.905	1
0.3	-92.3272	1
0.3	-46.8736	1
0.3	-109.56	1
0.3	-90.1743	1
0.3	-46.5876	1
0.3	-9.7382	1
0.3	12.4821	1
0.3	144.368	1
0.3	-49.9401	1
0.3	171.687	1
0.3	-63.6734	1
0.3	-179.711	1
0.3	49.1302	1
0.3	173.772	1
0.3	-117.563	1
0.3	-149.103	1
0.3	126.927	1
0.3	-85.7779	1
0.3	14.2918	1
0.3	81.2809	1
0.3	-158.634	1
0.3	19.449	1
0.3	-20.298	1
0.3	46.8854	1
0.3	93.5212	1
0.3	136.181	1
0.3	20.4153	1
0.3	-58.173	1
0.3	-6.22003	1
0.3	-65.6917	1
0.3	-80.8904	1
0.3	-158.704	1
0.3	88.597	1
0.3	-86.3326	1
0.3	146.672	1
0.3	58.5462	1
0.3	-32.903	1
0.3	-12.5293	1
0.3	160.183	1
0.3	-57.5908	1
0.3	11.5181	1
0.3	-14.4348	1
0.3	122.625	1
0.3	-93.0755	1
0.3	-45.9596	1
0.3	172.913	1
0.3	-8.52737	1
0.3	137.078	1
0.3	-65.4518	1
0.3	-133.99	1
0.3	138.766	1
0.3	114.768	1
0.3	-4.13235	1
0.3	-139.006	1
0.3	122.001	1
0.3	-11.6179	1
0.3	77.8197	1
0.3	82.8983	1
0.3	-144.144	1
0.3	-62.4382	1
0.3	139.906	1
0.3	-53.5329	1
0.3	143.242	1
0.3	-8.17734	1
0.3	61.156	1
0.3	-58.6187	1
0.3	-139.12	1
0.3	-101.192	1
0.3	-3.0064	1
0.3	28.8239	1
0.3	158.021	1
0.3	-110.525	1
0.3	81.7805	1
0.3	98.4123	1
0.3	-153.491	1
0.3	-41.8869	1
0.3	21.0465	1
0.3	15.3677	1
0.3	-87.8777	1
0.3	-99.6651	1
0.3	144.389	1
0.3	-140.294	1
0.3	-156.157	1
0.3	-79.0796	1
0.3	-54.6318	1
0.3	-137.319	1
0.3	122.628	1
0.3	-27.8655	1
0.3	139.608	1
0.3	177.273	1
0.3	167.456	1
0.3	106.51	1
0.3	-118.035	1
0.3	103.748	1
0.3	136.629	1
0.3	15.4563	1
0.3	152.945	1
0.3	158.331	1
0.3	-119.929	1
0.3	104.549	1
0.3	113.981	1
0.3	-177.394	1
0.3	147.119	1
0.3	-36.8671	1
0.3	-83.8199	1
0.3	-57.7806	1
0.3	78.3738	1
0.3	-117.319	1
0.3	121.898	1
0.3	158.238	1
0.3	-75.8408	1
0.3	84.613	1
0.3	-79.9208	1
0.3	-11.9289	1
0.3	45.9067	1
0.3	146.247	1
0.3	-64.5111	1
0.3	-47.1055	1
0.3	-56.0254	1
0.3	178.91	1
0.3	-70.8378	1
0.3	5.53469	1
0.3	163.055	1
0.3	-86.5462	1
0.3	161.961	1
0.3	-176.368	1
0.3	-158.499	1
0.3	97.0417	1
0.3	25.1563	1
0.3	111.913	1
0.3	96.8384	1
0.3	-24.5098	1
0.3	71.1395	1
0.3	12.3785	1
0.3	51.5108	1
0.3	38.3013	1
0.3	-145.795	1
0.3	-153.472	1
0.3	-49.3063	1
0.3	-113.192	1
0.3	-152.945	1
0.3	-99.1659	1
0.3	164.581	1
0.3	-32.7542	1
0.3	-74.6024	1
0.3	50.5077	1
0.3	45.2011	1
0.3	-46.0144	1
0.3	-137.466	1
0.3	30.6159	1
0.3	-41.399	1
0.3	112.115	1
0.3	-60.5303	1
0.3	48.7007	1
